
# Resource Usage Report
- **Date**: 2025-07-09 20:47:02
- **Monitoring Duration**: 118.52 seconds
- **Polling Interval**: 1 second(s)

## Summary
- **Average CPU Usage**: 27.68%
- **Maximum CPU Usage**: 99.40%
- **Average Memory Usage**: 213.60 MB
- **Maximum Memory Usage**: 282.83 MB
- **Peak Thread Count**: 12

## Raw Data
Timestamp, CPU (%), Memory (MB), Threads
2025-07-09T20:45:02.677922, 0.00, 0.09, 1
2025-07-09T20:45:03.683205, 67.70, 60.88, 3
2025-07-09T20:45:04.687866, 44.70, 73.07, 3
2025-07-09T20:45:05.691464, 60.30, 161.56, 10
2025-07-09T20:45:06.694709, 0.70, 161.56, 10
2025-07-09T20:45:07.697873, 10.90, 161.66, 10
2025-07-09T20:45:08.702746, 7.80, 161.81, 10
2025-07-09T20:45:09.707775, 30.50, 181.81, 10
2025-07-09T20:45:10.712261, 31.70, 196.34, 8
2025-07-09T20:45:11.717098, 25.80, 199.07, 8
2025-07-09T20:45:12.722018, 23.30, 199.14, 8
2025-07-09T20:45:13.727272, 22.30, 199.45, 8
2025-07-09T20:45:14.731796, 1.30, 199.45, 8
2025-07-09T20:45:15.736898, 14.30, 200.55, 11
2025-07-09T20:45:16.740652, 2.40, 201.25, 11
2025-07-09T20:45:17.745978, 16.70, 201.45, 11
2025-07-09T20:45:18.751012, 16.00, 201.90, 11
2025-07-09T20:45:19.755459, 20.50, 202.06, 11
2025-07-09T20:45:20.759641, 36.80, 182.98, 11
2025-07-09T20:45:21.764963, 16.30, 186.16, 11
2025-07-09T20:45:22.769344, 33.40, 198.75, 11
2025-07-09T20:45:23.772142, 8.50, 199.12, 11
2025-07-09T20:45:24.776173, 23.60, 201.84, 11
2025-07-09T20:45:25.780677, 41.60, 208.05, 11
2025-07-09T20:45:26.784499, 22.40, 209.19, 11
2025-07-09T20:45:27.789403, 8.40, 209.64, 11
2025-07-09T20:45:28.793703, 8.90, 214.80, 11
2025-07-09T20:45:29.798462, 35.50, 203.86, 11
2025-07-09T20:45:30.802504, 0.60, 203.86, 11
2025-07-09T20:45:31.807406, 0.60, 203.86, 11
2025-07-09T20:45:32.812377, 0.90, 203.86, 11
2025-07-09T20:45:33.816652, 3.40, 203.90, 11
2025-07-09T20:45:34.821880, 9.00, 191.54, 9
2025-07-09T20:45:35.825058, 0.10, 191.54, 9
2025-07-09T20:45:36.826433, 17.40, 191.64, 9
2025-07-09T20:45:37.831029, 21.90, 197.78, 9
2025-07-09T20:45:38.836184, 22.20, 208.66, 9
2025-07-09T20:45:39.840714, 43.60, 212.25, 9
2025-07-09T20:45:40.845475, 10.70, 212.39, 9
2025-07-09T20:45:41.850573, 84.50, 225.45, 9
2025-07-09T20:45:42.854678, 1.50, 225.30, 8
2025-07-09T20:45:43.859285, 0.10, 225.30, 8
2025-07-09T20:45:44.864431, 11.80, 214.45, 11
2025-07-09T20:45:45.869105, 1.90, 215.03, 11
2025-07-09T20:45:46.873340, 14.50, 212.41, 11
2025-07-09T20:45:47.878507, 30.50, 230.73, 11
2025-07-09T20:45:48.882372, 22.70, 229.89, 11
2025-07-09T20:45:49.884531, 99.40, 229.96, 11
2025-07-09T20:45:50.888433, 13.60, 230.54, 11
2025-07-09T20:45:51.892305, 0.10, 230.53, 10
2025-07-09T20:45:52.897493, 21.20, 218.39, 10
2025-07-09T20:45:53.901041, 11.30, 218.97, 10
2025-07-09T20:45:54.906199, 1.90, 215.07, 10
